,root,group,prob,X1_1,X2_1,X1_2,X2_2,X1_3,X2_3,X1_4,X2_4,X1_5,X2_5,X1_6,X2_6,X1_7,X2_7,X1_8,X2_8,X1_9,X2_9,X1_10,X2_10
0,ecj2018,national-500-5000,lu980.tsp,-0.081691,-0.07044508,-0.12550355,-0.07195871,0.1693074,-0.065061286,-0.00021250088,3.448477,0.18880285,0.08329183,3.9363787,2.755744,-0.08119976,1.7929837,0.3806996,-0.07998848,-0.11812571,0.09938238,0.53069544,-0.043441985
1,ecj2018,national-500-5000,mu1979.tsp,0.50921607,0.84638476,-0.06671016,2.6519008,1.3168749,0.97547877,0.8087662,0.3125766,-0.15901157,0.795287,-0.11106178,-0.14733176,0.21619354,0.028835539,0.080436654,0.09206401,-0.058875296,1.7056662,0.026409866,0.18846199
2,ecj2018,national-500-5000,rw1621.tsp,0.6324898,-0.045329623,0.28190786,0.01865174,-0.079414,0.024649376,0.117649935,0.08758473,-0.1373795,-0.007660317,-0.032737527,-0.12194094,0.04719917,0.28762862,0.08167901,-0.055538535,0.752669,-0.09887286,0.15567113,-0.07170334
3,ecj2018,national-500-5000,uy734.tsp,-0.13194826,-0.03086085,0.017398031,-0.0014060311,-0.02940709,-0.094591655,0.26144633,-0.12404139,0.80678004,0.11043557,-0.017096769,0.13833407,-0.06663165,-0.052736107,0.38187292,0.006744467,-0.029554635,-0.10033175,0.47417653,-0.0658091
4,ecj2018,national-500-5000,zi929.tsp,0.2827656,-0.14817278,0.17624249,0.220976,0.52473956,0.094253495,-0.11673394,1.0081643,0.012369544,0.1083916,1.0463398,0.24033535,0.07910595,0.46672052,0.20480785,-0.07189448,0.024899732,0.27905607,0.2779714,0.03335582
5,ecj2018,netgen,1000-10-1.tsp,0.4959937,4.0110497,-0.0066613727,3.590123,1.5726153,2.0161972,0.8840668,0.45772853,-0.08355159,3.476586,-0.12936087,-0.14334391,0.2865298,-0.1014345,0.038016822,0.24009848,-0.0949088,0.65178007,-0.045961227,0.19064076
6,ecj2018,netgen,1000-10-10.tsp,0.49452892,3.9956396,-0.0063201333,3.574934,1.5475637,2.0024903,0.8834063,0.4568537,-0.08672728,3.4426157,-0.12968102,-0.14154968,0.2762002,-0.1047941,0.039625138,0.24275059,-0.09821277,0.6561039,-0.049660716,0.18070138
7,ecj2018,netgen,1000-10-11.tsp,0.49194816,3.9717698,-0.006814484,3.5567255,1.5736169,2.0131488,0.8820222,0.46335563,-0.08395103,3.4438317,-0.12951061,-0.14300057,0.28499186,-0.100405015,0.038714863,0.23900987,-0.08839086,0.6469694,-0.049698364,0.17555617
8,ecj2018,netgen,1000-10-12.tsp,0.4957255,4.0059004,-0.005604787,3.5802994,1.516072,1.9846662,0.88378245,0.45276234,-0.09067357,3.4484394,-0.12934284,-0.13856505,0.26180494,-0.10774871,0.041345436,0.24550834,-0.10970288,0.6770266,-0.046379615,0.18513298
9,ecj2018,netgen,1000-10-13.tsp,0.4922399,3.9732134,-0.00533292,3.5592942,1.5139351,1.9792056,0.88187826,0.45828992,-0.09127843,3.4256537,-0.12934028,-0.13771038,0.262557,-0.106525235,0.04084179,0.24567904,-0.105578944,0.6720287,-0.04909675,0.17460938
