,root,group,prob,X1_1,X2_1,X1_2,X2_2,X1_3,X2_3,X1_4,X2_4,X1_5,X2_5,X1_6,X2_6,X1_7,X2_7,X1_8,X2_8,X1_9,X2_9,X1_10,X2_10
0,ecj2018,national-500-5000,lu980.tsp,0.42172554,0.16322535,-0.022419719,-0.038203724,-0.07128913,-0.05368848,0.2634604,0.17358586,0.17876366,0.31938925,0.028675355,0.4635339,-0.07044048,0.05276035,-0.11404387,-0.075239316,0.047654565,-0.14474991,0.17583372,0.35481644
1,ecj2018,national-500-5000,mu1979.tsp,2.47703,-0.16878028,0.5468138,-0.036748666,0.19042619,0.4697499,0.38042292,0.2939029,0.13179694,0.60774946,-0.07471073,0.09286822,0.051091675,0.21126252,-0.15226606,-0.12271577,0.07557592,0.119361185,0.21028472,0.19322123
2,ecj2018,national-500-5000,rw1621.tsp,0.2427473,0.027526984,0.13416295,0.012647055,0.024272306,0.08308291,0.26792002,0.30690947,0.027190438,0.41903654,0.20883174,0.3727811,0.0034495913,0.016358828,-0.1326623,-0.027823193,0.25439712,-0.0017107467,0.34382844,0.23418675
3,ecj2018,national-500-5000,uy734.tsp,0.32640484,0.12518905,-0.028715841,-0.01646522,-0.09287309,-0.10460455,0.22774199,0.17257555,0.07482971,0.48804918,0.28541777,0.2901635,-0.061315686,0.028092965,-0.10230868,-0.07002341,0.24905483,-0.08737747,0.17347136,0.38821673
4,ecj2018,national-500-5000,zi929.tsp,0.37073663,-0.012296856,0.19348128,0.009099842,0.05302611,0.15829343,0.32324448,0.3159569,0.052867293,0.3952424,0.26457268,0.33621415,0.00415289,0.076507874,-0.14546783,-0.012491108,0.2172247,0.054532126,0.30879208,0.20438285
5,ecj2018,netgen,1000-10-1.tsp,0.82984036,0.0856477,0.2549991,-0.09327975,0.7272111,2.1888669,1.0435042,0.0705393,0.14232057,1.0638332,-0.016276963,-0.01708076,-0.08736343,0.26804087,-0.14812857,-0.13358484,-0.06580639,0.07602934,-0.08043742,0.24261022
6,ecj2018,netgen,1000-10-10.tsp,0.7936751,0.0863641,0.23188005,-0.09306002,0.7373629,2.2359421,1.0690238,0.052000705,0.14542198,1.0730724,-0.021719731,-0.023727758,-0.0866116,0.25898743,-0.1486927,-0.13271226,-0.058525275,0.062332317,-0.08280339,0.24927871
7,ecj2018,netgen,1000-10-11.tsp,0.7940428,0.09314518,0.23073173,-0.09482682,0.72136533,2.2152426,1.0645572,0.047328517,0.14956167,1.0509114,-0.023948444,-0.030302558,-0.08837719,0.25490093,-0.14884134,-0.13244049,-0.06429145,0.058698643,-0.08550802,0.24808991
8,ecj2018,netgen,1000-10-12.tsp,0.7869142,0.08824306,0.22695544,-0.092968844,0.71559125,2.190837,1.0555398,0.055969846,0.14545062,1.0693749,-0.024759155,-0.029154846,-0.08621129,0.2575827,-0.14861348,-0.13289247,-0.057879664,0.062105652,-0.08486614,0.24916252
9,ecj2018,netgen,1000-10-13.tsp,0.7765991,0.09687334,0.2196274,-0.09498024,0.69067156,2.1664834,1.0523509,0.04435228,0.15202914,1.0379537,-0.032333817,-0.045719855,-0.088607766,0.2498999,-0.1493579,-0.13141888,-0.06409723,0.05315989,-0.09009522,0.2505897
10,ecj2018,netgen,1000-10-14.tsp,0.8035996,0.09516739,0.23658447,-0.09510104,0.6989651,2.1713104,1.0482805,0.05510296,0.14934322,1.0470116,-0.025124947,-0.033578794,-0.0888474,0.25685418,-0.14898078,-0.13209808,-0.06590706,0.06345723,-0.08513964,0.24714509
11,ecj2018,netgen,1000-10-15.tsp,0.7910085,0.09395159,0.22784016,-0.095155716,0.71856844,2.2116745,1.0602856,0.047960006,0.15027744,1.0540621,-0.024704382,-0.032274883,-0.08883069,0.25379845,-0.1487299,-0.13263051,-0.06584128,0.058163647,-0.08548393,0.24853498
12,ecj2018,netgen,1000-10-16.tsp,0.776718,0.08947869,0.22053532,-0.0934512,0.71675,2.201793,1.0621349,0.04913189,0.14786209,1.0642515,-0.027764607,-0.034672733,-0.08665692,0.25328034,-0.14873244,-0.13273014,-0.059122015,0.05752518,-0.087109625,0.25064582
13,ecj2018,netgen,1000-10-17.tsp,0.7957331,0.0921324,0.23197575,-0.09462684,0.7048852,2.1710649,1.0541582,0.053756386,0.14858122,1.0498812,-0.024786225,-0.031894796,-0.0879957,0.2560465,-0.14875668,-0.13260755,-0.065791704,0.06269543,-0.08566961,0.24675769
14,ecj2018,netgen,1000-10-18.tsp,0.8098426,0.093653396,0.24126282,-0.09538845,0.70116895,2.1663406,1.046686,0.055043966,0.14837433,1.0468442,-0.022944707,-0.03011238,-0.08881477,0.25864536,-0.14885998,-0.1323439,-0.07010823,0.06526188,-0.08468851,0.24606456
15,ecj2018,netgen,1000-10-19.tsp,0.7804462,0.09607512,0.22234716,-0.09505857,0.70452255,2.1957867,1.0534569,0.044612568,0.15095827,1.0494791,-0.029390818,-0.040557824,-0.08885115,0.25164372,-0.14928567,-0.1315335,-0.064221084,0.054026075,-0.088471785,0.25129074
16,ecj2018,netgen,1000-10-2.tsp,0.8058956,0.0887602,0.2394392,-0.09381529,0.7232128,2.2102654,1.0563253,0.055839196,0.14619902,1.0634692,-0.020815922,-0.023664063,-0.087629005,0.2603616,-0.14878884,-0.13241817,-0.06150666,0.06460971,-0.08156922,0.24754165
17,ecj2018,netgen,1000-10-20.tsp,0.79068184,0.09384446,0.22745074,-0.09515583,0.7040722,2.1809857,1.0545412,0.050148826,0.15016846,1.0512987,-0.02598704,-0.03430829,-0.08861745,0.25337934,-0.14891537,-0.13226014,-0.0659456,0.05921981,-0.08606203,0.24826083
18,ecj2018,netgen,1000-10-21.tsp,0.8059128,0.08659103,0.23931962,-0.093263,0.727154,2.201917,1.0601618,0.058928143,0.14473012,1.0647244,-0.019945417,-0.021648236,-0.08683366,0.26171884,-0.14846802,-0.13308573,-0.06123761,0.06750658,-0.08207631,0.24588975
19,ecj2018,netgen,1000-10-22.tsp,0.8043408,0.094485775,0.23660181,-0.095304884,0.7049196,2.1843781,1.0486995,0.05265717,0.14937088,1.048813,-0.02352425,-0.030660959,-0.089075856,0.25697458,-0.14899477,-0.13199253,-0.066699505,0.061620504,-0.08434759,0.24742386
20,ecj2018,netgen,1000-10-23.tsp,0.7978969,0.088668995,0.23502833,-0.09390622,0.72715086,2.219755,1.0549749,0.053581037,0.1457959,1.0716157,-0.021601891,-0.024676837,-0.08742874,0.25896916,-0.14898323,-0.13211682,-0.06204844,0.06272222,-0.083435506,0.24979147
21,ecj2018,netgen,1000-10-24.tsp,0.8148695,0.09864775,0.24151142,-0.09648389,0.7162471,2.2180824,1.0505005,0.05006543,0.15094021,1.0388522,-0.02216864,-0.030533377,-0.09075293,0.25771958,-0.14880627,-0.13228099,-0.07295128,0.061587665,-0.08493345,0.24727215
22,ecj2018,netgen,1000-10-25.tsp,0.7884597,0.08324214,0.22878172,-0.091906324,0.7338912,2.2167766,1.0649943,0.056241006,0.14285204,1.0821923,-0.021896016,-0.022412144,-0.08502488,0.2608284,-0.14844072,-0.1331848,-0.055611793,0.06460682,-0.08332003,0.24951449
23,ecj2018,netgen,1000-10-26.tsp,0.82965845,0.08612155,0.25619188,-0.09340858,0.7294186,2.2057269,1.0431184,0.06732784,0.14314185,1.0659925,-0.016390257,-0.01743441,-0.087951265,0.2679814,-0.14826259,-0.13334256,-0.06548685,0.074399255,-0.07866417,0.24418926
24,ecj2018,netgen,1000-10-27.tsp,0.8015478,0.08958932,0.23661752,-0.094084434,0.70590687,2.1653655,1.0523517,0.057359092,0.14667928,1.0549437,-0.023138162,-0.028346984,-0.08741003,0.25893852,-0.14870514,-0.13268417,-0.06524514,0.06631649,-0.084266454,0.24613553
25,ecj2018,netgen,1000-10-28.tsp,0.79650545,0.093869664,0.23256837,-0.09505815,0.70022446,2.168162,1.0492793,0.053517457,0.14939943,1.049109,-0.02514861,-0.033190582,-0.08861341,0.25579858,-0.14874247,-0.13259035,-0.06583633,0.061864275,-0.0847878,0.24712257
26,ecj2018,netgen,1000-10-29.tsp,0.8116346,0.09256433,0.24029945,-0.09506026,0.72235304,2.2055435,1.0478348,0.058481142,0.14768429,1.0566726,-0.020339685,-0.025638063,-0.08899189,0.25990537,-0.14838563,-0.13319078,-0.069309615,0.06592019,-0.08308859,0.24584992
